,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
281,0.7647058823529411,0.7647058823529411,molWeight,molVolume,Complexity,nof_acetyl
285,0.8235294117647058,0.7058823529411765,molWeight,molVolume,nof_posCharge,C_R1
289,0.8235294117647058,0.7352941176470589,molWeight,molVolume,nof_posCharge,negCharge/Volume
291,0.8235294117647058,0.7352941176470589,molWeight,molVolume,nof_posCharge,nof_Fragments
313,0.7647058823529411,0.7058823529411765,molWeight,molVolume,nof_negCharge,nof_OH
316,0.8235294117647058,0.7058823529411765,molWeight,molVolume,a_heavy,C_R1
320,0.8235294117647058,0.7058823529411765,molWeight,molVolume,a_heavy,negCharge/Volume
330,0.7941176470588235,0.7352941176470589,molWeight,molVolume,C_R2,C_R1
334,0.8235294117647058,0.7058823529411765,molWeight,molVolume,C_R2,negCharge/Volume
336,0.7941176470588235,0.7352941176470589,molWeight,molVolume,C_R2,nof_Fragments
344,0.7941176470588235,0.7058823529411765,molWeight,molVolume,C_R1,C_R0
345,0.7647058823529411,0.7058823529411765,molWeight,molVolume,C_R1,C_sp3
346,0.8235294117647058,0.7058823529411765,molWeight,molVolume,C_R1,posCharge/Volume
347,0.7941176470588235,0.7058823529411765,molWeight,molVolume,C_R1,negCharge/Volume
348,0.8235294117647058,0.7352941176470589,molWeight,molVolume,C_R1,nof_RotB
349,0.7647058823529411,0.7352941176470589,molWeight,molVolume,C_R1,nof_Fragments
350,0.7941176470588235,0.7352941176470589,molWeight,molVolume,C_R1,nof_PO4
351,0.8235294117647058,0.7352941176470589,molWeight,molVolume,C_R1,nof_SO3H
352,0.7941176470588235,0.7058823529411765,molWeight,molVolume,C_R1,nof_SH
353,0.8529411764705882,0.7058823529411765,molWeight,molVolume,C_R1,nof_NH2
354,0.8235294117647058,0.7058823529411765,molWeight,molVolume,C_R1,nof_COOH
355,0.8235294117647058,0.7058823529411765,molWeight,molVolume,C_R1,nof_OH
356,0.7941176470588235,0.7058823529411765,molWeight,molVolume,C_R1,nof_acetyl
361,0.7647058823529411,0.7352941176470589,molWeight,molVolume,C_R0,nof_Fragments
370,0.7647058823529411,0.7058823529411765,molWeight,molVolume,C_sp3,negCharge/Volume
372,0.7941176470588235,0.7352941176470589,molWeight,molVolume,C_sp3,nof_Fragments
380,0.8235294117647058,0.7058823529411765,molWeight,molVolume,posCharge/Volume,negCharge/Volume
382,0.7941176470588235,0.7058823529411765,molWeight,molVolume,posCharge/Volume,nof_Fragments
390,0.7941176470588235,0.7352941176470589,molWeight,molVolume,negCharge/Volume,nof_RotB
391,0.7647058823529411,0.7352941176470589,molWeight,molVolume,negCharge/Volume,nof_Fragments
392,0.8235294117647058,0.7352941176470589,molWeight,molVolume,negCharge/Volume,nof_PO4
393,0.8235294117647058,0.7352941176470589,molWeight,molVolume,negCharge/Volume,nof_SO3H
394,0.8235294117647058,0.7352941176470589,molWeight,molVolume,negCharge/Volume,nof_SH
396,0.8235294117647058,0.7352941176470589,molWeight,molVolume,negCharge/Volume,nof_COOH
397,0.8235294117647058,0.7058823529411765,molWeight,molVolume,negCharge/Volume,nof_OH
398,0.8235294117647058,0.7352941176470589,molWeight,molVolume,negCharge/Volume,nof_acetyl
399,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_RotB,nof_Fragments
403,0.8235294117647058,0.7058823529411765,molWeight,molVolume,nof_RotB,nof_NH2
407,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_Fragments,nof_PO4
408,0.8235294117647058,0.7058823529411765,molWeight,molVolume,nof_Fragments,nof_SO3H
409,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_Fragments,nof_SH
410,0.8235294117647058,0.7058823529411765,molWeight,molVolume,nof_Fragments,nof_NH2
411,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_Fragments,nof_COOH
412,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_Fragments,nof_OH
413,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_Fragments,nof_acetyl
429,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_NH2,nof_COOH
444,0.7647058823529411,0.7058823529411765,molWeight,molLogP,molLogS,Complexity
465,0.7647058823529411,0.7058823529411765,molWeight,molLogP,molPSA,nof_Atoms
467,0.7058823529411765,0.7352941176470589,molWeight,molLogP,molPSA,nof_HBA
470,0.6764705882352942,0.7058823529411765,molWeight,molLogP,molPSA,nof_Rings
471,0.7941176470588235,0.8235294117647058,molWeight,molLogP,molPSA,Complexity
473,0.7058823529411765,0.7058823529411765,molWeight,molLogP,molPSA,nof_negCharge
474,0.6470588235294118,0.7058823529411765,molWeight,molLogP,molPSA,a_heavy
476,0.7058823529411765,0.7058823529411765,molWeight,molLogP,molPSA,C_R1
478,0.6764705882352942,0.7058823529411765,molWeight,molLogP,molPSA,C_sp3
481,0.7058823529411765,0.7352941176470589,molWeight,molLogP,molPSA,nof_RotB
482,0.7352941176470589,0.7352941176470589,molWeight,molLogP,molPSA,nof_Fragments
490,0.7352941176470589,0.7058823529411765,molWeight,molLogP,molArea,PSA/Area
491,0.7941176470588235,0.7352941176470589,molWeight,molLogP,molArea,nof_Atoms
492,0.7941176470588235,0.7058823529411765,molWeight,molLogP,molArea,nof_Chirals
493,0.7647058823529411,0.7058823529411765,molWeight,molLogP,molArea,nof_HBA
494,0.7352941176470589,0.7647058823529411,molWeight,molLogP,molArea,nof_HBD
495,0.7941176470588235,0.7352941176470589,molWeight,molLogP,molArea,molCharge_total
496,0.7352941176470589,0.7058823529411765,molWeight,molLogP,molArea,nof_Rings
497,0.8235294117647058,0.7941176470588235,molWeight,molLogP,molArea,Complexity
498,0.7647058823529411,0.7352941176470589,molWeight,molLogP,molArea,nof_posCharge
499,0.7941176470588235,0.7647058823529411,molWeight,molLogP,molArea,nof_negCharge
500,0.7647058823529411,0.7058823529411765,molWeight,molLogP,molArea,a_heavy
501,0.7647058823529411,0.7647058823529411,molWeight,molLogP,molArea,C_R2
502,0.7647058823529411,0.7058823529411765,molWeight,molLogP,molArea,C_R1
