,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  3,Feature  3,Feature  3
14,0.8235294117647058,0.6176470588235294,molWeight,molVolume,a_heavy
455,0.8235294117647058,0.7058823529411765,molWeight,nof_SH,nof_NH2
456,0.8235294117647058,0.7058823529411765,molWeight,nof_SH,nof_COOH
2466,0.8235294117647058,0.6764705882352942,PSA/Area,molCharge_total,nof_NH2
1732,0.8235294117647058,0.6176470588235294,molPSA,PSA/Area,nof_COOH
3,0.8235294117647058,0.7058823529411765,molWeight,molVolume,molArea
462,0.8235294117647058,0.7058823529411765,molWeight,nof_COOH,nof_OH
418,0.8235294117647058,0.7058823529411765,molWeight,posCharge/Volume,nof_OH
2192,0.8235294117647058,0.8529411764705882,molArea,Complexity,C_R2
798,0.8235294117647058,0.6764705882352942,molVolume,C_R2,posCharge/Volume
251,0.8235294117647058,0.7352941176470589,molWeight,nof_HBD,nof_NH2
3941,0.8235294117647058,0.6470588235294118,nof_Rings,posCharge/Volume,nof_SH
2123,0.8235294117647058,0.7352941176470589,molArea,nof_HBA,nof_SO3H
246,0.8235294117647058,0.7058823529411765,molWeight,nof_HBD,nof_RotB
4693,0.8235294117647058,0.7058823529411765,C_R0,posCharge/Volume,nof_OH
1,0.8235294117647058,0.6176470588235294,molWeight,molVolume,molLogS
2229,0.8235294117647058,0.7647058823529411,molArea,nof_negCharge,posCharge/Volume
410,0.8235294117647058,0.7647058823529411,molWeight,posCharge/Volume,negCharge/Volume
2317,0.8235294117647058,0.6764705882352942,molArea,negCharge/Volume,nof_PO4
894,0.8235294117647058,0.7352941176470589,molVolume,nof_NH2,nof_COOH
4798,0.8235294117647058,0.6470588235294118,posCharge/Volume,negCharge/Volume,nof_SO3H
710,0.8235294117647058,0.7941176470588235,molVolume,nof_Rings,Complexity
1693,0.8235294117647058,0.7352941176470589,molPSA,molArea,nof_negCharge
413,0.8235294117647058,0.7058823529411765,molWeight,posCharge/Volume,nof_PO4
4806,0.8235294117647058,0.6176470588235294,posCharge/Volume,nof_RotB,nof_SO3H
306,0.8235294117647058,0.7941176470588235,molWeight,Complexity,nof_SO3H
